,Rk,PLAYER,POSITION,AGE,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,POINTS,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS_RPM,PIE,PACE,W,SALARY_MILLIONS,PAGEVIEWS,TWITTER_FAVORITE_COUNT,TWITTER_RETWEET_COUNT
0,1,Russell Westbrook,PG,28,34.6,10.2,24.0,0.425,2.5,7.2,0.34299999999999997,7.7,16.8,0.45899999999999996,0.47600000000000003,8.8,10.4,0.845,1.7,9.0,10.7,10.4,1.6,0.4,5.4,2.3,31.6,OKC,81,34.6,6.74,-0.47,6.27,17.34,23.0,102.31,46,26.5,4279.0,2130.5,559.0
1,2,James Harden,PG,27,36.4,8.3,18.9,0.44,3.2,9.3,0.34700000000000003,5.1,9.6,0.53,0.525,9.2,10.9,0.847,1.2,7.0,8.1,11.2,1.5,0.5,5.7,2.7,29.1,HOU,81,36.4,6.38,-1.57,4.81,15.54,19.0,102.98,54,26.5,3279.0,969.0,321.5
2,4,Anthony Davis,C,23,36.1,10.3,20.3,0.505,0.5,1.8,0.299,9.7,18.6,0.524,0.518,6.9,8.6,0.802,2.3,9.5,11.8,2.1,1.3,2.2,2.4,2.2,28.0,NO,75,36.1,0.45,3.9,4.35,12.81,19.2,100.19,31,22.12,82.5,368.0,104.0
3,6,DeMarcus Cousins,C,26,34.2,9.0,19.9,0.452,1.8,5.0,0.361,7.2,14.8,0.483,0.498,7.2,9.3,0.772,2.1,8.9,11.0,4.6,1.4,1.3,3.7,3.9,27.0,NO/SAC,72,34.2,3.56,0.64,4.2,11.26,17.8,97.11,30,16.96,1625.5,102.0,91.5
4,7,Damian Lillard,PG,26,35.9,8.8,19.8,0.444,2.9,7.7,0.37,6.0,12.1,0.49200000000000005,0.516,6.5,7.3,0.895,0.6,4.3,4.9,5.9,0.9,0.3,2.6,2.0,27.0,POR,75,35.9,4.63,-1.49,3.14,10.72,15.9,99.68,38,24.33,1830.5,186.5,43.0
5,8,LeBron James,SF,32,37.8,9.9,18.2,0.5479999999999999,1.7,4.6,0.363,8.3,13.5,0.611,0.594,4.8,7.2,0.674,1.3,7.3,8.6,8.7,1.2,0.6,4.1,1.8,26.4,CLE,74,37.8,6.49,1.93,8.42,20.43,18.3,98.38,51,30.96,14704.0,5533.5,1501.5
6,9,Kawhi Leonard,SF,25,33.4,8.6,17.7,0.485,2.0,5.2,0.38,6.6,12.5,0.529,0.541,6.3,7.2,0.88,1.1,4.7,5.8,3.5,1.8,0.7,2.1,1.6,25.5,SA,74,33.4,5.83,1.25,7.08,15.53,17.4,95.79,54,17.64,2446.5,2701.5,716.5
7,10,Stephen Curry,PG,28,33.4,8.5,18.3,0.46799999999999997,4.1,10.0,0.41100000000000003,4.4,8.3,0.537,0.58,4.1,4.6,0.898,0.8,3.7,4.5,6.6,1.8,0.2,3.0,2.3,25.3,GS,79,33.4,7.27,0.14,7.41,18.8,15.1,105.08,65,12.11,17570.5,12278.0,2893.0
8,11,Kyrie Irving,PG,24,35.1,9.3,19.7,0.473,2.5,6.1,0.401,6.9,13.6,0.505,0.535,4.1,4.6,0.905,0.7,2.5,3.2,5.8,1.2,0.3,2.5,2.2,25.2,CLE,72,35.1,4.35,-2.3,2.05,8.28,13.5,99.12,47,17.64,4796.0,1541.0,695.0
9,12,Kevin Durant,SF,28,33.4,8.9,16.5,0.537,1.9,5.0,0.375,7.0,11.5,0.608,0.594,5.4,6.2,0.875,0.6,7.6,8.3,4.8,1.1,1.6,2.2,1.9,25.1,GS,62,33.4,4.41,1.33,5.74,12.24,18.6,103.71,51,26.5,6288.5,1425.5,366.0
10,13,Karl-Anthony Towns,C,21,37.0,9.8,18.0,0.542,1.2,3.4,0.36700000000000005,8.5,14.7,0.5820000000000001,0.5760000000000001,4.3,5.2,0.8320000000000001,3.6,8.7,12.3,2.7,0.7,1.3,2.6,2.9,25.1,MIN,82,37.0,3.54,-1.41,2.13,10.0,17.1,97.1,31,5.96,2046.5,0.0,105.0
11,14,Jimmy Butler,SF,27,37.0,7.5,16.5,0.455,1.2,3.3,0.36700000000000005,6.3,13.2,0.47700000000000004,0.49200000000000005,7.7,8.9,0.865,1.7,4.5,6.2,5.5,1.9,0.4,2.1,1.5,23.9,CHI,76,37.0,4.82,1.8,6.62,17.35,16.4,97.78,40,17.55,41.0,89.5,30.0
12,15,Paul George,SF,26,35.9,8.3,18.0,0.461,2.6,6.6,0.39299999999999996,5.7,11.4,0.501,0.534,4.5,5.0,0.898,0.8,5.8,6.6,3.3,1.6,0.4,2.9,2.7,23.7,IND,75,35.9,2.67,-0.09,2.58,9.72,13.6,98.13,39,18.31,1600.0,228.5,128.0
13,16,Andrew Wiggins,SF,21,37.2,8.6,19.1,0.452,1.3,3.5,0.35600000000000004,7.4,15.6,0.473,0.484,5.0,6.6,0.76,1.2,2.8,4.0,2.3,1.0,0.4,2.3,2.2,23.6,MIN,82,37.2,1.56,-3.16,-1.6,2.94,9.5,97.56,31,6.01,1778.5,182.0,54.5
14,17,Kemba Walker,PG,26,34.7,8.1,18.3,0.444,3.0,7.6,0.39899999999999997,5.1,10.7,0.47600000000000003,0.527,3.8,4.5,0.847,0.6,3.3,3.9,5.5,1.1,0.3,2.1,1.5,23.2,CHA,79,34.7,3.93,-1.25,2.68,9.95,13.7,98.19,36,12.0,640.5,59.5,32.5
15,18,Bradley Beal,SG,23,34.9,8.3,17.2,0.48200000000000004,2.9,7.2,0.40399999999999997,5.4,10.0,0.5379999999999999,0.5660000000000001,3.7,4.4,0.825,0.7,2.4,3.1,3.5,1.1,0.3,2.0,2.2,23.1,WSH,77,34.9,3.29,-1.04,2.25,9.26,11.9,100.11,48,22.12,413.5,55.5,40.5
16,19,John Wall,PG,26,36.4,8.3,18.4,0.451,1.1,3.5,0.327,7.2,14.9,0.48,0.48200000000000004,5.4,6.8,0.8009999999999999,0.8,3.4,4.2,10.7,2.0,0.6,4.1,1.9,23.1,WSH,78,36.4,3.52,-1.26,2.26,9.9,15.3,101.07,48,16.96,57.0,0.0,77.0
17,22,Carmelo Anthony,SF,32,34.3,8.1,18.8,0.433,2.0,5.7,0.359,6.1,13.1,0.466,0.488,4.1,4.9,0.833,0.8,5.1,5.9,2.9,0.8,0.5,2.1,2.7,22.4,NY,74,34.3,1.87,-1.75,0.12,5.26,11.8,98.48,29,24.56,3773.5,720.5,220.0
18,24,Klay Thompson,SG,26,34.0,8.3,17.6,0.46799999999999997,3.4,8.3,0.414,4.8,9.3,0.516,0.565,2.4,2.8,0.853,0.6,3.0,3.7,2.1,0.8,0.5,1.6,1.8,22.3,GS,78,34.0,2.78,-0.45,2.33,9.53,10.9,102.15,66,16.66,3708.0,797.0,225.0
19,25,Devin Booker,SG,20,35.0,7.8,18.3,0.423,1.9,5.2,0.363,5.9,13.2,0.447,0.475,4.7,5.7,0.8320000000000001,0.6,2.6,3.2,3.4,0.9,0.3,3.1,3.1,22.1,PHX,78,35.0,1.28,-2.58,-1.3,3.29,8.9,103.62,24,2.22,1210.5,1170.5,335.5
20,26,Gordon Hayward,SF,26,34.5,7.5,15.8,0.47100000000000003,2.0,5.1,0.39799999999999996,5.4,10.7,0.506,0.536,5.0,5.9,0.8440000000000001,0.7,4.7,5.4,3.5,1.0,0.3,1.9,1.6,21.9,UTAH,73,34.5,3.14,-0.08,3.06,9.45,15.8,93.44,46,16.07,689.0,319.0,50.5
21,27,Blake Griffin,PF,27,34.0,7.9,15.9,0.493,0.6,1.9,0.336,7.2,14.1,0.514,0.513,5.2,6.9,0.76,1.8,6.3,8.1,4.9,0.9,0.4,2.3,2.6,21.6,LAC,61,34.0,3.02,0.76,3.78,9.2,15.2,98.71,40,20.14,2257.0,269.0,98.5
22,28,Eric Bledsoe,PG,27,33.0,6.8,15.7,0.434,1.6,4.7,0.335,5.2,11.0,0.47700000000000004,0.485,5.9,6.9,0.847,0.8,4.1,4.8,6.3,1.4,0.5,3.4,2.5,21.1,PHX,66,33.0,2.33,-0.64,1.69,6.85,14.1,103.09,22,14.0,434.5,9.0,30.5
23,29,Mike Conley,PG,29,33.2,6.7,14.6,0.46,2.5,6.1,0.408,4.2,8.6,0.49700000000000005,0.545,4.6,5.3,0.8590000000000001,0.4,3.0,3.5,6.3,1.3,0.3,2.3,1.8,20.5,MEM,69,33.2,4.67,-0.2,4.47,10.5,16.0,94.64,35,26.54,11.0,257.5,90.0
24,31,Goran Dragic,PG,30,33.7,7.3,15.4,0.475,1.6,4.0,0.405,5.7,11.4,0.499,0.527,4.1,5.2,0.79,0.8,3.0,3.8,5.8,1.2,0.2,2.9,2.7,20.3,MIA,73,33.7,2.54,-1.62,0.92,6.3,13.0,98.16,40,15.89,19.0,62.5,45.0
25,32,Joel Embiid,C,22,25.4,6.5,13.8,0.466,1.2,3.2,0.36700000000000005,5.3,10.7,0.495,0.508,6.2,7.9,0.7829999999999999,2.0,5.9,7.8,2.1,0.9,2.5,3.8,3.6,20.2,PHI,31,25.4,-0.57,2.27,1.7,2.46,17.4,100.25,13,4.83,1075.5,6852.5,2941.0
26,33,Jabari Parker,PF,21,33.9,7.8,16.0,0.49,1.3,3.5,0.365,6.5,12.5,0.525,0.53,3.2,4.3,0.743,1.5,4.6,6.2,2.8,1.0,0.4,1.8,2.2,20.1,MIL,51,33.9,0.83,-1.61,-0.78,2.59,12.1,98.47,22,5.37,815.0,267.0,125.0
27,34,Marc Gasol,C,32,34.2,7.2,15.7,0.45899999999999996,1.4,3.6,0.38799999999999996,5.8,12.1,0.48,0.503,3.8,4.5,0.8370000000000001,0.8,5.5,6.3,4.6,0.9,1.3,2.2,2.3,19.5,MEM,74,34.2,1.86,0.72,2.58,8.69,15.1,94.43,40,21.17,825.0,0.0,75.5
28,36,Kevin Love,PF,28,31.4,6.2,14.5,0.42700000000000005,2.4,6.5,0.373,3.8,8.0,0.47100000000000003,0.51,4.3,4.9,0.871,2.5,8.6,11.1,1.9,0.9,0.4,2.0,2.1,19.0,CLE,60,31.4,2.77,2.26,5.03,9.76,14.8,99.66,40,21.17,2013.5,866.5,194.5
29,37,Zach LaVine,SG,21,37.2,6.9,15.1,0.45899999999999996,2.6,6.6,0.387,4.4,8.5,0.515,0.544,2.5,3.0,0.836,0.4,3.0,3.4,3.0,0.9,0.2,1.8,2.2,18.9,MIN,47,37.2,-0.62,-2.35,-2.97,0.17,9.5,96.38,16,2.24,1103.0,178.5,67.0
30,39,Dwyane Wade,SG,35,29.9,6.9,15.9,0.434,0.8,2.4,0.31,6.2,13.5,0.456,0.457,3.7,4.7,0.794,1.1,3.5,4.5,3.8,1.4,0.7,2.3,1.9,18.3,CHI,60,29.9,-0.45,-0.46,-0.91,2.52,12.1,98.2,29,23.2,4671.0,349.5,149.5
31,40,Danilo Gallinari,SF,28,33.9,5.3,11.9,0.447,2.0,5.1,0.389,3.3,6.8,0.491,0.531,5.5,6.1,0.902,0.6,4.5,5.2,2.1,0.6,0.2,1.3,1.5,18.2,DEN,63,33.9,2.67,0.21,2.88,8.39,11.4,100.53,31,15.05,350.0,29.0,6.0
32,41,Paul Millsap,PF,31,34.0,6.2,14.1,0.442,1.1,3.5,0.311,5.1,10.6,0.486,0.48100000000000004,4.5,5.9,0.768,1.6,6.1,7.7,3.7,1.3,0.9,2.3,2.7,18.1,ATL,69,34.0,1.23,3.35,4.58,11.51,12.6,100.22,40,20.07,436.5,60.0,32.0
33,42,Chris Paul,PG,31,31.5,6.1,12.9,0.47600000000000003,2.0,5.0,0.41100000000000003,4.1,7.9,0.518,0.555,3.8,4.3,0.892,0.7,4.3,5.0,9.2,2.0,0.1,2.4,2.4,18.1,LAC,61,31.5,5.16,2.76,7.92,13.48,18.2,98.19,43,22.87,2689.5,829.0,178.5
34,43,Kristaps Porzingis,PF,21,32.8,6.7,14.9,0.45,1.7,4.8,0.35700000000000004,5.0,10.2,0.493,0.507,3.0,3.8,0.7859999999999999,1.7,5.5,7.2,1.5,0.7,2.0,1.8,3.7,18.1,NY,66,32.8,-0.31,1.9,1.59,6.54,10.6,99.15,26,4.32,20.0,485.0,214.0
35,44,Derrick Rose,PG,28,32.5,7.2,15.3,0.47100000000000003,0.2,0.9,0.217,7.0,14.3,0.48700000000000004,0.47700000000000004,3.5,4.0,0.8740000000000001,1.0,2.8,3.8,4.4,0.7,0.3,2.3,1.3,18.0,NY,64,32.5,0.11,-2.36,-2.25,1.17,11.2,99.19,26,21.32,3273.5,1864.0,2504.5
36,45,Dennis Schroder,PG,23,31.5,6.9,15.4,0.451,1.3,3.7,0.34,5.7,11.6,0.48700000000000004,0.493,2.8,3.2,0.855,0.5,2.6,3.1,6.3,0.9,0.2,3.3,1.9,17.9,ATL,79,31.5,0.31,-2.76,-2.45,1.07,11.7,100.32,42,2.71,2.0,51.5,20.0
37,47,LaMarcus Aldridge,PF,31,32.4,6.9,14.6,0.47700000000000004,0.3,0.8,0.41100000000000003,6.6,13.8,0.48,0.488,3.1,3.8,0.812,2.4,4.9,7.3,1.9,0.6,1.2,1.4,2.2,17.3,SA,72,32.4,-0.09,1.05,0.96,5.79,12.2,94.47,52,20.58,958.0,195.0,63.0
38,48,Evan Fournier,SG,24,32.9,6.0,13.7,0.439,1.9,5.3,0.35600000000000004,4.1,8.4,0.491,0.508,3.3,4.1,0.805,0.6,2.4,3.1,3.0,1.0,0.1,2.1,2.6,17.2,ORL,68,32.9,0.07,-1.17,-1.1,2.89,8.5,99.6,23,17.0,253.5,21.0,10.0
39,50,George Hill,PG,30,31.5,5.9,12.4,0.47700000000000004,1.9,4.8,0.40299999999999997,4.0,7.6,0.523,0.5539999999999999,3.2,4.0,0.8009999999999999,0.5,2.9,3.4,4.2,1.0,0.2,1.7,2.3,16.9,UTAH,49,31.5,2.64,1.11,3.75,6.28,12.8,92.9,33,8.0,12.0,33.5,3.0
40,51,Nikola Jokic,C,21,27.9,6.8,11.7,0.578,0.6,1.9,0.324,6.2,9.8,0.628,0.605,2.6,3.1,0.825,2.9,6.9,9.8,4.9,0.8,0.8,2.3,2.9,16.7,DEN,73,27.9,4.44,2.29,6.73,13.18,16.7,100.76,37,1.36,8.0,0.0,1.0
41,53,Eric Gordon,SG,28,31.0,5.5,13.5,0.406,3.3,8.8,0.37200000000000005,2.2,4.7,0.46799999999999997,0.527,2.0,2.3,0.84,0.4,2.3,2.7,2.5,0.6,0.5,1.6,2.0,16.2,HOU,75,31.0,1.51,-0.48,1.03,6.36,8.2,103.07,50,12.39,346.0,55.0,26.0
42,54,Tobias Harris,PF,24,31.3,6.2,13.0,0.48100000000000004,1.3,3.8,0.34700000000000003,4.9,9.1,0.537,0.532,2.3,2.8,0.841,0.8,4.3,5.1,1.7,0.7,0.5,1.2,1.6,16.1,DET,82,31.3,1.19,-0.25,0.94,6.55,11.3,97.41,37,17.2,327.0,2.0,4.0
43,55,Victor Oladipo,SG,24,33.2,6.1,13.9,0.442,1.9,5.3,0.361,4.3,8.7,0.491,0.51,1.7,2.3,0.753,0.6,3.8,4.3,2.6,1.2,0.3,1.8,2.3,15.9,OKC,67,33.2,0.1,1.56,1.66,6.88,9.5,101.1,39,6.55,715.0,78.0,28.0
44,56,Dion Waiters,SG,25,30.1,6.1,14.4,0.424,1.8,4.7,0.395,4.3,9.7,0.43799999999999994,0.488,1.8,2.8,0.6459999999999999,0.4,2.9,3.3,4.3,0.9,0.4,2.2,2.1,15.8,MIA,46,30.1,0.12,-0.07,0.05,2.8,10.0,98.03,27,2.9,512.0,0.0,7.0
45,57,Wilson Chandler,SF,29,30.9,6.1,13.2,0.461,1.5,4.6,0.337,4.5,8.6,0.527,0.52,2.0,2.7,0.727,1.5,5.0,6.5,2.0,0.7,0.4,1.6,2.4,15.7,DEN,71,30.9,0.3,-1.54,-1.24,2.69,9.8,100.43,35,11.23,166.0,31.5,18.5
46,58,D'Angelo Russell,PG,20,28.7,5.6,13.8,0.405,2.1,6.1,0.35200000000000004,3.4,7.7,0.447,0.483,2.3,3.0,0.782,0.5,3.0,3.5,4.8,1.4,0.3,2.8,2.1,15.6,LAL,63,28.7,0.75,-2.45,-1.7,1.69,9.9,100.87,21,5.33,1327.0,0.0,232.0
47,59,Jrue Holiday,PG,26,32.7,6.0,13.3,0.45399999999999996,1.5,4.2,0.35600000000000004,4.6,9.1,0.498,0.51,1.8,2.5,0.708,0.7,3.3,3.9,7.3,1.5,0.7,2.9,2.0,15.4,NO,67,32.7,0.64,1.18,1.82,6.89,12.1,100.12,32,11.29,547.5,0.0,39.0
48,60,Jeff Teague,PG,28,32.4,4.9,11.1,0.442,1.1,3.1,0.35700000000000004,3.8,8.0,0.475,0.49200000000000005,4.4,5.1,0.867,0.4,3.6,4.0,7.8,1.2,0.4,2.6,2.0,15.3,IND,82,32.4,1.86,-0.22,1.64,8.08,13.1,98.98,42,8.8,12.0,17.5,13.5
49,61,Nicolas Batum,SG,28,34.0,5.1,12.7,0.40299999999999997,1.8,5.3,0.33299999999999996,3.4,7.4,0.45299999999999996,0.47200000000000003,3.2,3.7,0.856,0.6,5.6,6.2,5.9,1.1,0.4,2.5,1.4,15.1,CHA,77,34.0,1.3,-0.35,0.95,6.73,11.8,98.76,35,20.87,374.5,114.5,66.0
50,63,Gary Harris,SG,22,31.3,5.6,11.2,0.502,1.9,4.5,0.42,3.7,6.7,0.5579999999999999,0.586,1.8,2.4,0.7759999999999999,0.8,2.3,3.1,2.9,1.2,0.1,1.3,1.6,14.9,DEN,57,31.3,2.88,-2.37,0.51,4.29,9.1,100.41,29,1.66,187.5,6.0,2.5
51,65,Jordan Clarkson,SG,24,29.2,5.8,13.1,0.445,1.4,4.3,0.32899999999999996,4.4,8.7,0.503,0.5,1.6,2.0,0.7979999999999999,0.6,2.4,3.0,2.6,1.1,0.1,2.0,1.8,14.7,LAL,82,29.2,-0.63,-3.39,-4.02,-1.4,8.4,101.34,26,12.5,1386.5,55.5,179.5
52,66,Khris Middleton,SF,25,30.7,5.2,11.5,0.45,1.6,3.6,0.433,3.6,7.9,0.45899999999999996,0.518,2.8,3.2,0.88,0.4,3.9,4.2,3.4,1.4,0.2,2.2,2.7,14.7,MIL,29,30.7,0.14,1.26,1.4,2.44,10.4,94.63,19,15.2,255.5,16.0,9.0
53,67,Nikola Vucevic,C,26,28.8,6.4,13.7,0.46799999999999997,0.3,1.0,0.307,6.1,12.7,0.48100000000000004,0.48,1.4,2.1,0.669,2.3,8.0,10.4,2.8,1.0,1.0,1.6,2.4,14.6,ORL,75,28.8,-1.38,2.15,0.77,5.44,14.2,100.74,27,11.75,10.0,5.5,35.5
54,70,Jeremy Lin,PG,28,24.5,4.9,11.1,0.43799999999999994,1.6,4.3,0.37200000000000005,3.3,6.8,0.48,0.51,3.2,3.9,0.816,0.3,3.4,3.8,5.1,1.2,0.4,2.4,2.2,14.5,BKN,36,24.5,0.48,-0.03,0.45,2.21,13.1,106.86,13,11.48,3147.0,936.5,197.5
55,71,Myles Turner,C,20,31.4,5.5,10.7,0.511,0.5,1.4,0.348,5.0,9.3,0.536,0.534,3.0,3.7,0.809,1.7,5.6,7.3,1.3,0.9,2.1,1.3,3.2,14.5,IND,81,31.4,0.09,2.57,2.66,9.31,11.2,98.5,42,2.46,10.0,53.0,31.0
56,73,Enes Kanter,C,24,21.3,5.6,10.2,0.545,0.1,0.5,0.132,5.5,9.7,0.568,0.5489999999999999,3.1,4.0,0.7859999999999999,2.7,4.0,6.7,0.9,0.4,0.5,1.7,2.1,14.3,OKC,72,21.3,0.56,-1.24,-0.68,2.4,15.4,99.17,43,17.15,713.0,147.0,195.0
